date,participant,movementBlock,trial,colourLeft,colourRight,fLeft,fRight,gratingOrientationLeft,gratingOrientationRight,t,greenButtonPressed,redButtonPressed,leftPupilSize,rightPupilSize,leftEyeX,leftEyeY,rightEyeX,rightEyeY
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.2638768,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.2747873,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.2860487,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.2971287,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3081817,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3197567,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3305303,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3415902,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3525468,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3637078,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3751065,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3859261,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.3969574,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4081208,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4194945,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4304466,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4414727,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4526315,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4636687,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4749375,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4864743,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.4970867,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5079771,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5191815,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5303702,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5414473,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5527771,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5640712,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5752883,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.5864299,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.597618,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6087876,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6199038,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6311619,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6420051,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6532924,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6643485,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6754901,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.6866276,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.697662,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.708624,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7197281,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7309394,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.74206,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7531144,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7642949,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7753857,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7865831,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.7976611,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8087612,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8197826,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8315044,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8418934,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8539639,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8642706,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8752857,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8865288,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.8976079,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.909156,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9196671,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9307926,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9420879,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.953631,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9641844,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9752705,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9862687,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,0.9976284,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.008704,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.019724,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.030987,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.041827,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.053012,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.0642,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.075213,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.086391,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.097676,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.108462,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.119627,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.130785,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.142465,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.15288,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.164111,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.175215,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.186261,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.197322,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.208484,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.219602,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.230642,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.241824,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.253086,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.263973,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.275584,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.286434,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.297395,0,0,0,0,0,0,0,0
