date,movementBlock,trial,colourLeft,colourRight,fLeft,fRight,gratingOrientationLeft,gratingOrientationRight,t,greenButtonPressed,redButtonPressed,leftPupilSize,rightPupilSize,leftEyeX,leftEyeY,rightEyeX,rightEyeY
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.231041,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.242234,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.253401,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.264387,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.275523,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.286659,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.297902,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.308996,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.320035,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.331707,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.343294,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.353245,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.364596,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.375371,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.386524,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.397748,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.408896,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.419796,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.43111,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.442044,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.453232,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.464565,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.475403,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.486476,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.498368,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.508978,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.519984,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.53135,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.542149,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.554327,0,1,0,0,0,0,0,0
